date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-05-22,all,not_vaccinated,14,2791,5920050,0.24,NA,16.86,0.28,56,42.52,53.31,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-22,all,unknown,10,3467,NA,NA,NA,12,NA,40,52.82,38.96,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-23,all,fully_vaccinated,1,150,1579998,0.06,NA,1.14,0.07,3.33,2.27,4.42,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-23,all,partially_vaccinated,0,157,1222409,0,NA,0.86,0.07,0,2.38,3.27,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-23,all,not_vaccinated,20,2811,5906948,0.34,NA,15.14,0.26,66.67,42.63,53.94,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-23,all,unknown,9,3476,NA,NA,NA,10.57,NA,30,52.71,38.36,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-24,all,fully_vaccinated,1,151,1599645,0.06,NA,1.57,0.1,6.25,2.28,6.14,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-24,all,partially_vaccinated,1,158,1234246,0.08,NA,1,0.08,6.25,2.39,4.05,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-24,all,not_vaccinated,8,2819,5875464,0.14,NA,13.43,0.23,50,42.65,52.21,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-24,all,unknown,6,3482,NA,NA,NA,9.71,NA,37.5,52.68,37.6,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-25,all,fully_vaccinated,3,154,1652269,0.18,NA,1.71,0.1,10.71,2.32,6.9,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-25,all,partially_vaccinated,1,159,1232965,0.08,NA,0.71,0.06,3.57,2.4,3.1,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-25,all,not_vaccinated,11,2830,5824121,0.19,NA,13.29,0.23,39.29,42.63,52.79,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-25,all,unknown,13,3495,NA,NA,NA,9.29,NA,46.43,52.65,37.22,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-26,all,fully_vaccinated,0,154,1706091,0,NA,1.71,0.1,0,2.31,6.98,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-26,all,partially_vaccinated,1,160,1234677,0.08,NA,0.71,0.06,3.85,2.4,3.1,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-26,all,not_vaccinated,16,2846,5768587,0.28,NA,13,0.23,61.54,42.71,52.58,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-26,all,unknown,9,3504,NA,NA,NA,9.14,NA,34.62,52.58,37.35,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-27,all,fully_vaccinated,3,157,1758657,0.17,NA,2,0.11,12,2.35,9.8,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-27,all,partially_vaccinated,2,162,1240032,0.16,NA,0.71,0.06,8,2.42,3.1,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-27,all,not_vaccinated,13,2859,5710666,0.23,NA,11,0.19,52,42.74,49.65,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-27,all,unknown,7,3511,NA,NA,NA,8.43,NA,28,52.49,37.46,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-28,all,fully_vaccinated,3,160,1813395,0.17,NA,2.29,0.13,12,2.38,10.95,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-28,all,partially_vaccinated,0,162,1238620,0,NA,0.71,0.06,0,2.41,2.88,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-28,all,not_vaccinated,11,2870,5657340,0.19,NA,10.43,0.18,44,42.75,45.23,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
